Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Challenges and Strategies in Recruitment: Insights from Digital Transformation,Innovations in Smart Cities Applications Volume 8,,,,10.1007/978-3-031-88653-9_33,Loubna BouhsaienAbdellah Azmani,2025,https://link.springer.com/chapter/10.1007/978-3-031-88653-9_33,Conference paper
"Job recommender systems: a systematic literature review, applications, open issues, and challenges",Journal of Big Data,,,,10.1186/s40537-025-01173-y,Duygu Çelik ErtuğrulSelin Bitirim,2025,https://link.springer.com/article/10.1186/s40537-025-01173-y,Article
Job Market Indicators in Software Development Sector: A Data-Driven Analysis of Poland and the Baltics,Eurasian Business and Economics Perspectives,,,,10.1007/978-3-031-85312-8_12,Dmitrij Żatuchin,2025,https://link.springer.com/chapter/10.1007/978-3-031-85312-8_12,Conference paper
ChatGPT is a gender bias echo-chamber in HR recruitment: an NLP analysis and framework to uncover the language roots of bias,AI & SOCIETY,,,,10.1007/s00146-025-02564-8,Siva Sankari SivakaminathanElena Musi,2025,https://link.springer.com/article/10.1007/s00146-025-02564-8,Article
"Predictive Modeling for Job Recommendations: Harnessing the Power of KNN, SVM, and LR Algorithms",ICT Systems and Sustainability,,,,10.1007/978-981-97-8526-1_9,P. J. R. Shalem RajuM. PrasadP. B. V. Raja RaoP. Kiran SreeSharani Bhuvana Sree BirudaLikhitha Sri AkulaCherukula ArchanaNavya Sri Gompa,2025,https://link.springer.com/chapter/10.1007/978-981-97-8526-1_9,Conference paper
Leveraging Large Language Models (LLMs) to&#xa0;Match Job Offers with&#xa0;Candidate CVs,Management of Digital EcoSystems,,,,10.1007/978-3-031-93598-5_28,Rania AbidiWissem InoubliMouhamed Ghaith Ayadi,2025,https://link.springer.com/chapter/10.1007/978-3-031-93598-5_28,Conference paper
Empowering career development: a comprehensive AI-driven system for personalised guidance and recommendations,Cluster Computing,,,,10.1007/s10586-025-05739-6,Clement BabuFahimeh Jafari,2025,https://link.springer.com/article/10.1007/s10586-025-05739-6,Article
Industry perceptions of the competencies needed by novice software tester,Education and Information Technologies,,,,10.1007/s10639-023-12055-2,Bushra HamidNaveed Ikram,2023,https://link.springer.com/article/10.1007/s10639-023-12055-2,Article
Bringing it home: successful backsourcing of software development in the public sector,Empirical Software Engineering,,,,10.1007/s10664-025-10722-1,Casper LasseniusParastoo MohagheghiJefferson Seide Molléri,2025,https://link.springer.com/article/10.1007/s10664-025-10722-1,Article
Beyond “Economic Immigration”: Understanding the Role of Labor Market and Lifestyle Expectations in Technology Sector Newcomer Experiences in Canada,Journal of International Migration and Integration,,,,10.1007/s12134-023-01056-2,Faun E. RiceTrevor R. Quan,2023,https://link.springer.com/article/10.1007/s12134-023-01056-2,Article
Data-Driven Resume Analysis Using Natural Language Processing and an Ensemble of Deep Learning,Proceedings of Fifth Doctoral Symposium on Computational Intelligence,,,,10.1007/978-981-97-6318-4_24,Scholastica Nwanneka MalloPhilip O. OdionMartin E. IrhebhudeAbraham E. Evwiekpaefe,2024,https://link.springer.com/chapter/10.1007/978-981-97-6318-4_24,Conference paper
Training software architects suiting software industry needs: A literature review,Education and Information Technologies,,,,10.1007/s10639-023-12149-x,Wilson Libardo Pantoja YépezJulio Ariel Hurtado AlegríaAjay BandiArvind W. Kiwelekar,2023,https://link.springer.com/article/10.1007/s10639-023-12149-x,Article
Data to Decisions: A Computational Framework to Identify Skill Requirements from Advertorial Data,Advanced Network Technologies and Intelligent Computing,,,,10.1007/978-3-031-83793-7_28,Aakash SinghAnurag KanaujiaVivek Kumar Singh,2025,https://link.springer.com/chapter/10.1007/978-3-031-83793-7_28,Conference paper
Fuzzy Logic-Based Recruitment for Software Engineering Domain: A Modified Mamdani Model,"Signal Processing, Telecommunication & Embedded Systems: AI and ML Applications",,,,10.1007/978-981-96-7249-3_46,Vazeerudeen Abdul HameedMuhammad Ehsan RanaSheng Xue LimWei Lun ChengHrudaya Kumar Tripathy,2025,https://link.springer.com/chapter/10.1007/978-981-96-7249-3_46,Conference paper
A Microservice-Based Multi-agent System for&#xa0;the&#xa0;Job Market,Intelligent Distributed Computing XVI,,,,10.1007/978-3-031-60023-4_25,Ionuţ MurareţuDaniel-Costel BouleanuAlexandra Vultureanu-AlbişiCostin BădicăDimitrios SarafisKaliopi KravariPeriklis Chatzimisios,2024,https://link.springer.com/chapter/10.1007/978-3-031-60023-4_25,Conference paper
An Analytical Study for Implementing 360-Degree M-HRM Practices Using Amazon Mechanical Turk and Machine Learning in IT Sector,Intelligent Systems for Smart Cities,,,,10.1007/978-981-99-6984-5_27,Vishwas DeoskarMilind PandeVarad Vishwarupe,2024,https://link.springer.com/chapter/10.1007/978-981-99-6984-5_27,Conference paper
Deciphering Job Trends: A LinkedIn Data Analysis Perspective,ICT: Applications and Social Interfaces,,,,10.1007/978-981-96-4139-0_6,G. Sindhu MadhuriD. TanmayiT. PrathimaD. L. Sreenivasa ReddyA. Sirisha,2025,https://link.springer.com/chapter/10.1007/978-981-96-4139-0_6,Conference paper
Personnel Selection for Software Projects Under Z-Information,"16th International Conference on Applications of Fuzzy Systems, Soft Computing and Artificial Intelligence Tools – ICAFS-2023",,,,10.1007/978-3-031-76283-3_45,Kamala AliyevaMehdiyev Nihad,2024,https://link.springer.com/chapter/10.1007/978-3-031-76283-3_45,Conference paper
The effect of stereotypes on perceived competence of indigenous software practitioners: a study of dress style in professional photos,Empirical Software Engineering,,,,10.1007/s10664-025-10675-5,Mary Sánchez-GordónRicardo Colomo-PalaciosCathy Guevara-VegaAntonio Quiña-MeraAliaksandr Hubin,2025,https://link.springer.com/article/10.1007/s10664-025-10675-5,Article
Supporting the Integration of Privacy-Enhancing Technologies into the Software Development Life Cycle,SN Computer Science,,,,10.1007/s42979-025-04127-6,Alexandra KlymenkoStephen MeisenbacherLuca FavaroFlorian Matthes,2025,https://link.springer.com/article/10.1007/s42979-025-04127-6,Article
Resume Parser for Computer Science and Information Technology Domains Using Text Mining,"Signal Processing, Telecommunication and Embedded Systems: Automation and Sustainability Applications",,,,10.1007/978-981-96-7253-0_48,Chong Kar YeeKuan Yik JunnVoon Pei YiFong Wan YeeTan Li JuneMahdiyeh Sadat Moosavi,2025,https://link.springer.com/chapter/10.1007/978-981-96-7253-0_48,Conference paper
Multi-weighted Bi-partite Graph Based Hybrid Matchmaking for&#xa0;Ranking,Advanced Computing and Communications: Responsible AI,,,,10.1007/978-3-031-96473-2_5,Demian Antony DMelloVaishnavi K. V. NayakApeksha B. PaiAditi U. BhoviAnusha N Shenvi,2025,https://link.springer.com/chapter/10.1007/978-3-031-96473-2_5,Conference paper
"The March of Chatbots into Recruitment: Recruiters’ Experiences, Expectations, and Design Opportunities",Computer Supported Cooperative Work (CSCW),,,,10.1007/s10606-022-09429-4,Sami KoivunenSaara Ala-LuopaThomas OlssonArja Haapakorpi,2022,https://link.springer.com/article/10.1007/s10606-022-09429-4,Article
ROS package search for robot software development: a knowledge graph-based approach,Frontiers of Computer Science,,,,10.1007/s11704-024-3660-9,Shuo WangXinjun MaoShuo YangMenghan WuZhang Zhang,2024,https://link.springer.com/article/10.1007/s11704-024-3660-9,Article
Analyzing Data Science Labor Market Trends in Poland Using NLP Techniques,Emerging Challenges in Intelligent Management Information Systems,,,,10.1007/978-3-031-78465-1_14,Ryszard ZygałaWiesława GryncewiczAgnieszka Rosa,2025,https://link.springer.com/chapter/10.1007/978-3-031-78465-1_14,Conference paper
"Enhancing Labor Market Intelligence in Ecuador: A Framework for Generating, Standardizing and Analyzing Job Demand Data",Computational Economics,,,,10.1007/s10614-025-10935-y,Diego Del Pozo-VillafuerteAndrés Villacís-Miranda,2025,https://link.springer.com/article/10.1007/s10614-025-10935-y,Article
AI Ethics in Practice: Exploring Racial and Ethnic Stereotypes in Synthetic Resumes Written by ChatGPT,Artificial Intelligence and Knowledge Processing,,,,10.1007/978-3-031-73477-9_2,Jessica BenzelManjeet Rege,2025,https://link.springer.com/chapter/10.1007/978-3-031-73477-9_2,Conference paper
Getting into the game: gamifying software development with the GSA framework,Software Quality Journal,,,,10.1007/s11219-024-09694-0,Daniel de Paula PortoSandra Camargo Pinto Ferraz FabbriFabiano Cutigi Ferrari,2024,https://link.springer.com/article/10.1007/s11219-024-09694-0,Article
Trends and Trajectories in the Software Industry: implications for the future of work,Information Systems Frontiers,,,,10.1007/s10796-022-10267-4,Samuli LaatoMatti MäntymäkiA. K.M. Najmul IslamSami HyrynsalmiTeemu Birkstedt,2022,https://link.springer.com/article/10.1007/s10796-022-10267-4,Article
Bots in Software Development: A Systematic Literature Review and Thematic Analysis,Programming and Computer Software,,,,10.1134/S0361768823080145,R. Moguel-SánchezC. S. Sergio Martínez-PalaciosJ. O. Ocharán-HernándezX. LimónA. J. Sánchez-García,2023,https://link.springer.com/article/10.1134/S0361768823080145,Article
The Main Issues of Discrimination in the Workplace in Information Technology Organizations of Armenia,Proceedings of Tenth International Congress on Information and Communication Technology,,,,10.1007/978-981-96-6935-6_14,Maria SahakyanMeri BadalyanLusine Karapetyan,2025,https://link.springer.com/chapter/10.1007/978-981-96-6935-6_14,Conference paper
Insights into software development approaches: mining Q &amp;A repositories,Empirical Software Engineering,,,,10.1007/s10664-023-10417-5,Arif Ali KhanJaved Ali KhanMuhammad Azeem AkbarPeng ZhouMahdi Fahmideh,2023,https://link.springer.com/article/10.1007/s10664-023-10417-5,Article
Personality Detection for Recruitment Using Machine Learning,Proceedings of the 6th International Conference on Communications and Cyber Physical Engineering,,,,10.1007/978-981-99-7137-4_38,M. NirmalaB. RajalakshmiS. R. Meghana SarvepallySonitha MandavaM. Megana,2024,https://link.springer.com/chapter/10.1007/978-981-99-7137-4_38,Conference paper
A Hybrid Job Recommendation Approach Based on&#xa0;BERT and&#xa0;WordNet,Proceedings of the 3rd International Conference on Computer Science's Complex Systems and Their Applications,,,,10.1007/978-3-031-90758-6_24,Assia BrekHassiba LaifaYahya Issa Diakhite,2025,https://link.springer.com/chapter/10.1007/978-3-031-90758-6_24,Conference paper
Unlocking the Value of Artificial Intelligence in Human Resource Management Through Effective Implementation and Usage,Business Intelligence and Data Analytics,,,,10.1007/978-981-97-7717-4_46,Anupama K. MalagiS. Ramya,2025,https://link.springer.com/chapter/10.1007/978-981-97-7717-4_46,Conference paper
Supply and Demand Analysis in Bridging the Gap of Graduate Employability in Malaysia Through Jobstreet Data and Tiktok Insights,Digital Innovation in Knowledge Management,,,,10.1007/978-3-031-91485-0_34,Juhaida Abu BakarRuziana Mohd RasliMohamed Ali SaipNor Hazlyna HarunChan Pui YeeChong Kai ZhiNurul Maizura Shafika Md ZaidOng Hong KaiHo Jun Han,2025,https://link.springer.com/chapter/10.1007/978-3-031-91485-0_34,Conference paper
Employment tenure prediction for Indian IT professionals using linkedin network data and machine learning based techniques,Discover Analytics,,,,10.1007/s44257-025-00052-3,Prajas NaikSwapnajit Chakraborti,2025,https://link.springer.com/article/10.1007/s44257-025-00052-3,Article
Fusing talent horizons: the transformative role of data integration in modern talent management,Discover Sustainability,,,,10.1007/s43621-024-00212-7,Ahmed M. Asfahani,2024,https://link.springer.com/article/10.1007/s43621-024-00212-7,Article
H-1B Visas and Wages in Accounting: Evidence from Big 4 Payroll and the Ethics of H-1B Visas,Journal of Business Ethics,,,,10.1007/s10551-024-05823-8,Thomas BourveauDerrald SticeHan SticeRoger White,2024,https://link.springer.com/article/10.1007/s10551-024-05823-8,Article
"Hey GPT, can you help me understand the Universe?",Nature Astronomy,,,,10.1038/s41550-025-02497-8,Giacomo BeccariHenri M. J. Boffin,2025,https://link.springer.com/article/10.1038/s41550-025-02497-8,Article
Integrating human values in software development using a human values dashboard,Empirical Software Engineering,,,,10.1007/s10664-023-10305-y,Arif NurwidyantoroMojtaba ShahinMichel ChaudronWaqar HussainHarsha PereraRifat Ara ShamsJon Whittle,2023,https://link.springer.com/article/10.1007/s10664-023-10305-y,Article
Uncovering the skillsets required in computer science jobs using social network analysis,Education and Information Technologies,,,,10.1007/s10639-023-12304-4,Mehrdad Maghsoudi,2023,https://link.springer.com/article/10.1007/s10639-023-12304-4,Article
AI-Driven Interviewer: Enhancing Interview Experience Through Conversational AI,Computational Intelligence in Data Science,,,,10.1007/978-3-031-69986-3_13,S. SumathiD. Kevin HarrisA. K. Jeyanth,2024,https://link.springer.com/chapter/10.1007/978-3-031-69986-3_13,Conference paper
"Quotas, disclosure, and a rule called Rooney: diversity and the NFL as a corporation",The International Sports Law Journal,,,,10.1007/s40318-022-00232-3,Rebecca Amoah,2022,https://link.springer.com/article/10.1007/s40318-022-00232-3,Article
Identification of Fake Job Recruitment Using Several Machine Learning (ML) Models,Advances in Machine Learning and Big Data Analytics II,,,,10.1007/978-3-031-51342-8_19,Immidi Kali PradeepSeerla Mohan KrishnaKompella Bhargava KiranB. C. H. S. N. L. S. Sai BabaVenkata Durgarao Matta,2025,https://link.springer.com/chapter/10.1007/978-3-031-51342-8_19,Conference paper
Responsible artificial intelligence in human resources management: a review of the empirical literature,AI and Ethics,,,,10.1007/s43681-023-00325-1,Antoine BujoldIsabelle Roberge-MaltaisXavier Parent-RocheleauJared BoasenSylvain SénécalPierre-Majorique Léger,2023,https://link.springer.com/article/10.1007/s43681-023-00325-1,Article
From Software Users to Software Creators: An Exploration of the Core Characteristics of the Citizen Developer Role and the Related Re- and Upskilling Programs,Business & Information Systems Engineering,,,,10.1007/s12599-024-00915-1,Edona ElshanBjörn BinzerTill J. Winkler,2024,https://link.springer.com/article/10.1007/s12599-024-00915-1,Article
AI-Based Personalised Job Recommender System,Work Integrated Learning-Directions for the Future,,,,10.1007/978-981-96-0201-8_57,S. N. SrushtiR. VismayaDeepti ShanbhagS. Puneeth RajR. Bharathi,2025,https://link.springer.com/chapter/10.1007/978-981-96-0201-8_57,Conference paper
Human Resources Selection Through the PSI-SPOTIS Hybrid Modelling: Multi-criteria Analysis of Sellers for Technological Market,Proceedings of International Conference on Information Technology and Applications,,,,10.1007/978-981-96-1758-6_37,Patrícia Lopes de OliveiraMiguel Ângelo Lellis MoreiraIgor Pinheiro de Araújo CostaDaniel Augusto de Moura PereiraCarlos Francisco Simões GomesMarcos dos Santos,2025,https://link.springer.com/chapter/10.1007/978-981-96-1758-6_37,Conference paper
Cost of start-up activities to implement a community-level opioid overdose reduction intervention in the HEALing Communities Study,Addiction Science & Clinical Practice,,,,10.1186/s13722-024-00454-w,Iván D. MontoyaColleen WatsonArnie AldridgeDanielle RyanSean M. MurphyBrenda AmuchiKathryn E. McCollisterBruce R. SchackmanJoshua L. BushDrew SpeerKristin HarlowStephen OrmeGary A. ZarkinMathieu CastryEric E. SeiberJoshua A. BarocasBenjamin P. LinasLaura E. Starbird,2024,https://link.springer.com/article/10.1186/s13722-024-00454-w,Article
Understanding Gender Diversity in Software Teams: Insights from a Systematic Literature Review,Programming and Computer Software,,,,10.1134/S0361768825700562,Juan Carlos Pérez-ArriagaÁngel J. Sánchez-GarcíaJonatan Alarcón-AlarcónLizbeth A. Hernández-González,2025,https://link.springer.com/article/10.1134/S0361768825700562,Article
Does Industry 5.0 Reproduce Gender (In)equalities at Organisations? Understanding the Interaction of Human Resources and Software Development Teams in Supplying Human Capitals,Information Systems Frontiers,,,,10.1007/s10796-023-10450-1,Erhan AydinMushfiqur RahmanEmir Ozeren,2023,https://link.springer.com/article/10.1007/s10796-023-10450-1,Article
Responsible AI in student management: preventing misdecision in career choice of university students under inaccurate guidance,Scientific Reports,,,,10.1038/s41598-025-22127-7,Shi YinRaiha ImranKifayat UllahZeeshan AliIzatmand Haleemzai,2025,https://link.springer.com/article/10.1038/s41598-025-22127-7,Article
ERP Staff versus AI recruitment with employment real-time big data,Discover Artificial Intelligence,,,,10.1007/s44163-022-00037-1,Kenneth David StrangZhaohao Sun,2022,https://link.springer.com/article/10.1007/s44163-022-00037-1,Article
Enhancing Transparency and Fairness in Automated Resume Categorization: A KNN-Based Approach with LIME Explanations,Multi-disciplinary Trends in Artificial Intelligence,,,,10.1007/978-981-96-0692-4_33,Mudavath RaviAtul Negi,2025,https://link.springer.com/chapter/10.1007/978-981-96-0692-4_33,Conference paper
Sources of software development task friction,Empirical Software Engineering,,,,10.1007/s10664-022-10187-6,Nick C. BradleyThomas FritzReid Holmes,2022,https://link.springer.com/article/10.1007/s10664-022-10187-6,Article
Discrimination in FinTech era: debiasing algorithm for fair lending practices,Journal of Banking and Financial Technology,,,,10.1007/s42786-025-00058-1,Milica Terzic,2025,https://link.springer.com/article/10.1007/s42786-025-00058-1,Article
The Evolution of Campus Recruitment Patterns: A Novel Approach,ICT: Cyber Security and Applications,,,,10.1007/978-981-97-0744-7_35,Reena LenkaAnkita BhatiaRajiv Divekar,2024,https://link.springer.com/chapter/10.1007/978-981-97-0744-7_35,Conference paper
Job Recommendation Based on&#xa0;Extracted Skill Embeddings,Intelligent Systems and Applications,,,,10.1007/978-3-031-16075-2_35,Atakan KaraF. Serhan DanişGünce K. OrmanSultan N. TurhanÖ. Anıl Özlü,2023,https://link.springer.com/chapter/10.1007/978-3-031-16075-2_35,Conference paper
"Understanding mindsets, skills, current practices, and barriers of adoption of digital accessibility in Kuwait’s software development landscape",Universal Access in the Information Society,,,,10.1007/s10209-023-00980-5,Zainab AlMerajDari AlhuwailRumana QadriShok ShamaMichael Crabb,2023,https://link.springer.com/article/10.1007/s10209-023-00980-5,Article
Skilled labour immigration:&#xa0;a&#xa0;vignette analysis on the willingness to accept migrants from outside the EU,Journal for Labour Market Research,,,,10.1186/s12651-025-00402-4,Richard V. WolffOlaf StruckChristopher Osiander,2025,https://link.springer.com/article/10.1186/s12651-025-00402-4,Article
Social networking sites and employer branding: a qualitative study of Indian organizations,Asian Business & Management,,,,10.1057/s41291-023-00245-2,Sunanda NayakPawan Budhwar,2023,https://link.springer.com/article/10.1057/s41291-023-00245-2,Article
Metaverse in the tourism sector for talent management: a technology in practice lens,Information Technology & Tourism,,,,10.1007/s40558-023-00258-9,Debolina DuttaYuvaraj SrivastavaEshmeeta Singh,2023,https://link.springer.com/article/10.1007/s40558-023-00258-9,Article
"AI ethics and governance in business management: challenges, opportunities, and a comparative analysis",AI and Ethics,,,,10.1007/s43681-025-00764-y,Trusha PanchalDevarsh Panchal,2025,https://link.springer.com/article/10.1007/s43681-025-00764-y,Article
C2M: a maturity model for the evaluation of communication in distributed software development,Empirical Software Engineering,,,,10.1007/s10664-022-10211-9,Ivaldir de Farias JuniorSabrina MarczakRodrigo SantosCleyton RodriguesHermano Moura,2022,https://link.springer.com/article/10.1007/s10664-022-10211-9,Article
Beyond the Unicorn? Job Roles in Data Science,Business & Information Systems Engineering,,,,10.1007/s12599-025-00954-2,Jonas GunklachMario NadjSven MichalczykKatharina JacobChristoph GrögerAlexander Mädche,2025,https://link.springer.com/article/10.1007/s12599-025-00954-2,Article
Profiling employability skills for life cycle professionals amid the circular and digital economy,The International Journal of Life Cycle Assessment,,,,10.1007/s11367-025-02490-3,Francesco SmaldoneJelena LaggerGiada Mainolfi,2025,https://link.springer.com/article/10.1007/s11367-025-02490-3,Article
Management of Remote Work in Distributed Software Development: A Systematic Literature Review,Software Engineering Methods Design and Application,,,,10.1007/978-3-031-70285-3_12,Pedro Bandeira MilfontAdriano Bessa AlbuquerqueGleidson Sobreira Leite,2024,https://link.springer.com/chapter/10.1007/978-3-031-70285-3_12,Conference paper
The role of psychological safety in promoting software quality in agile teams,Empirical Software Engineering,,,,10.1007/s10664-024-10512-1,Adam AlamiMansooreh ZahediOliver Krancher,2024,https://link.springer.com/article/10.1007/s10664-024-10512-1,Article
A Review of Job Postings in India Concerning Artificial Intelligence and Machine Learning Skills,Global Economic Revolutions: Big Data Governance and Business Analytics for Sustainability,,,,10.1007/978-3-031-50518-8_15,Hemraj Shobharam LamkucheJolly MasihAbhijit BhagwatShakti MoryaVandana OnkerKrishna Kumar Singh,2024,https://link.springer.com/chapter/10.1007/978-3-031-50518-8_15,Conference paper
Essential competencies for computing managers: Skills and dispositions,Education and Information Technologies,,,,10.1007/s10639-023-11869-4,Suzhen DuanMarisa ExterDeepti TagareMihaela SabinShamila Janakiraman,2023,https://link.springer.com/article/10.1007/s10639-023-11869-4,Article
Ethics in AI: Bias Mitigation in Machine Learning Algorithms,Innovative Computing and Communications,,,,10.1007/978-981-96-6906-6_38,Aaryaman ParulekarArjun NairBhavya PatelSuman Madan,2025,https://link.springer.com/chapter/10.1007/978-981-96-6906-6_38,Conference paper
Evaluating and mitigating gender bias in machine learning based resume filtering,Multimedia Tools and Applications,,,,10.1007/s11042-023-16552-x,GagandeepJaskirat KaurSanket MathurSukhpreet KaurAnand NayyarSimar Preet SinghSandeep Mathur,2023,https://link.springer.com/article/10.1007/s11042-023-16552-x,Article
Exploring the IT’s Needs in Morocco Using Online Job Ads,Automatic Control and Emerging Technologies,,,,10.1007/978-981-97-0126-1_59,Khadija SellamyMohamed El FaroukiZineb SabriHamza NouibAniss QostalYoussef FakhriAniss Moumen,2024,https://link.springer.com/chapter/10.1007/978-981-97-0126-1_59,Conference paper
Developer discussion topics on the adoption and barriers of low code software development platforms,Empirical Software Engineering,,,,10.1007/s10664-022-10244-0,Md Abdullah Al AlaminGias UddinSanjay MalakarSadia AfrozTameem HaiderAnindya Iqbal,2022,https://link.springer.com/article/10.1007/s10664-022-10244-0,Article
"Mapping quantum industry demands to education: a critical analysis of skills, qualifications, and modalities",EPJ Quantum Technology,,,,10.1140/epjqt/s40507-025-00406-6,Shalini DevendrababuSrinjoy GangulyKannan Hemachandran,2025,https://link.springer.com/article/10.1140/epjqt/s40507-025-00406-6,Article
Integrating Students as Academic Partners in Software Engineering: A Group Software Development Case Study,Computing Technologies for Sustainable Development,,,,10.1007/978-3-031-82386-2_21,Raj RamachandranHelga GunnarsdottirKrishan RanjanKhoa PhungEmmanuel Ogunshile,2025,https://link.springer.com/chapter/10.1007/978-3-031-82386-2_21,Conference paper
"Low-Coders, No-Coders, and Citizen Developers in Demand: Examining Knowledge, Skills, and Abilities Through a Job Market Analysis",Transforming the Digitally Sustainable Enterprise,,,,10.1007/978-3-031-80125-9_15,Björn BinzerTill J. Winkler,2025,https://link.springer.com/chapter/10.1007/978-3-031-80125-9_15,Conference paper
Blockchain-based labor dispatch system,Journal of King Saud University Computer and Information Sciences,,,,10.1007/s44443-025-00161-9,Ching-Hsi TsengYu-Heng HsiehWei-Qi ChenShyan-ming Yuan,2025,https://link.springer.com/article/10.1007/s44443-025-00161-9,Article
"Decentralized Systems and AI: Exploring the Intersection of Web3, Blockchain, and Predictive Machine Learning",HCI International 2025 Posters,,,,10.1007/978-3-031-94171-9_29,Myriam Hernández-AlvarezEdgar Torres-Hernández,2025,https://link.springer.com/chapter/10.1007/978-3-031-94171-9_29,Conference paper
Data: A Key to HR Analytics for Talent Management,Data Science and Security,,,,10.1007/978-981-97-0975-5_3,Aerica RishirajSamiksha Shukla,2024,https://link.springer.com/chapter/10.1007/978-981-97-0975-5_3,Conference paper
Predominant Role of Artificial Intelligence in Employee Retention,Intelligent System Design,,,,10.1007/978-981-19-4863-3_53,Ravinder KaurHardeep Kaur,2023,https://link.springer.com/chapter/10.1007/978-981-19-4863-3_53,Conference paper
How to Reduce Bias in the Life Cycle of a Data Science Project,Journal of Business and Psychology,,,,10.1007/s10869-025-10022-x,George C. BanksScott TonidandelWenwen DouMatthew J. GersonDepeng XuJill E. Yavorsky,2025,https://link.springer.com/article/10.1007/s10869-025-10022-x,Article
A remedy for the liability of smallness? How digital work platforms augment the smallest enterprises,Review of Managerial Science,,,,10.1007/s11846-025-00834-9,Michael GusenbauerSarah KönitzerMarius Kitowski,2025,https://link.springer.com/article/10.1007/s11846-025-00834-9,Article
"Immigrant Women in IT: Discrimination in Work, and Solutions for their Employment",Employee Responsibilities and Rights Journal,,,,10.1007/s10672-024-09501-9,Valérie HarveyDiane-Gabrielle Tremblay,2024,https://link.springer.com/article/10.1007/s10672-024-09501-9,Article
Motivations and Experiences of Recognition of Prior Learning Candidates in Information Systems Programmes,ICT Education,,,,10.1007/978-3-031-48536-7_11,Thelma. M. T. ChitsaGwamaka Mwalemba,2024,https://link.springer.com/chapter/10.1007/978-3-031-48536-7_11,Conference paper
Understanding Career Trajectories of&#xa0;IT Professionals - A Machine Learning Approach,Advanced Communication and Intelligent Systems,,,,10.1007/978-3-031-45124-9_9,Yaswanthram PonnadaB. A. SabarishT. SrehariD. LathikaS. Sneha Latha,2023,https://link.springer.com/chapter/10.1007/978-3-031-45124-9_9,Conference paper
"Auditing of AI: Legal, Ethical and Technical Approaches",Digital Society,,,,10.1007/s44206-023-00074-y,Jakob Mökander,2023,https://link.springer.com/article/10.1007/s44206-023-00074-y,Article
