Library,,#,Title,Abstract,Palavra-Chaves,CIs1,CEs1,Revisor 1,CIs2,CEs2,Revisor 2,Decision
Springer Nature,1311,11,Web-Based Human Resource Information System Design AT PT. Cakra Mandala Sakti Surabaya,,,IC1,,NO,,,,
Springer Nature,1323,12,Topic Modeling for&#xa0;Skill Extraction from&#xa0;Job Postings,,,IC1,,YES,,,,
Springer Nature,1360,13,Blockchain-Enabled Intelligent Solution Using Structured Equation Modelling Based on the UTAUT Framework,,,,EC5,NO,,,,
Springer Nature,1406,14,A theory of factors affecting continuous experimentation (FACE),,,,EC5,NO,,,,
Springer Nature,1418,15,A Literature Review Based Insight into Agile Mindset Through a Lens of Six C’s Grounded Theory Model,,,,EC5,NO,,,,
Springer Nature,1438,16,Within-project and cross-project defect prediction based on model averaging,,,,EC5,NO,,,,
Springer Nature,1468,17,Discovering smell relations between temporary field and design smells: an empirical analysis,,,,EC2,NO,,,,
Springer Nature,1477,18,Fairness-aware machine learning engineering: how far are we?,,,,EC5,NO,,,,
Springer Nature,1484,19,Measuring readiness for nurse-led shared decision making in clinical practice: development and first testing of the RSDM-N scale,,,,EC5,NO,,,,
Springer Nature,1487,20,What makes a code review useful to OpenDev developers? An empirical investigation,,,,EC5,NO,,,,
Springer Nature,1489,21,Impact of Big Data and Artificial Intelligence on Industry: Developing a Workforce Roadmap for a Data Driven Economy,,,,EC2; EC3; EC5,NO,,,,
ACM Digital Library,150,22,ATE-FS: An Average Treatment Effect-Based Feature Selection Technique for Software Fault Prediction,"In software development, software fault prediction (SFP) models aim to identify code sections with a high likelihood of faults before the testing process. SFP models achieve this by analyzing data about the structural properties of the software’s previous versions. Consequently, the accuracy and interpretation of SFP models depend heavily on the chosen software metrics and how well they correlate with patterns of fault occurrence. Previous research has explored improving SFP model performance through feature selection (metric selection). Yet inconsistencies in conclusions arose due to the presence of inconsistent and correlated software metrics. Relying solely on correlations between metrics and faults makes it difficult for developers to take actionable steps, as the causal relationships remain unclear. To address this challenge, this work investigates the use of Causal Inference (CI) methods to understand the causal relationships between software project characteristics, development practices, and the fault-proneness of code sections. We propose a CI-based technique called Average Treatment Effect for Feature Selection (ATE-FS). This technique leverages the CI concept to quantify the cause-and-effect relationships between software metrics and fault-proneness. ATE-FS utilizes Average Treatment Effect (ATE) features to identify code metrics that are most suitable for building SFP models. These ATE features capture the causal impact of a metric on fault-proneness. Through an experimental analysis involving twenty-seven SFP datasets, we validate the performance of ATE-FS. We further compare its performance with other state-of-the-art feature selection techniques. The results demonstrate that ATE-FS achieves a significant performance for fault prediction. Additionally, ATE-FS improved consistency in feature selection across diverse SFP datasets.",Software Fault Prediction; Causal Inference; Average Treatment Effect; Empirical Analysis,,EC5,NO,,,,
Springer Nature,1519,23,UMLDS: A Round-Trip Engineering Support Tool to&#xa0;Avoid Unintended Design Changes,,,,EC5,NO,,,,
Springer Nature,1559,24,"A snapshot of cancer in Chile II: an update on research, strategies and analytical frameworks for equity, innovation and national development",,,,EC5,NO,,,,
Springer Nature,1567,25,The Eco-label Blue Angel for Software—Development and Components,,,IC1,,NO,,,,
Springer Nature,1571,26,Biochemical-free enrichment or depletion of RNA classes in real-time during direct RNA sequencing with RISER,,,,EC5,NO,,,,
Springer Nature,1581,27,Spaceward senses: examining retronasal aroma and mouthfeel perception in simulated space-microgravity environments,,,,EC5,NO,,,,
Springer Nature,1657,28,A comprehensive analysis of challenges and strategies for software release notes on GitHub,,,,EC5,NO,,,,
Springer Nature,1707,29,Candidate Classification and Skill Recommendation in a CV Recommender System,,,IC1,,YES,,,,
Springer Nature,1721,30,Empowering Digital Innovation by Diverse Leadership in ICT – A Roadmap to a Better Value System in Computer Algorithms,,,,EC5,NO,,,,
Springer Nature,1769,31,Energy Efficient Software in&#xa0;an&#xa0;Engineering Course,,,,EC5,NO,,,,
Springer Nature,1803,32,Developers talking about code quality,,,,EC2; EC5,NO,,,,
Springer Nature,1848,33,Fuzzy Reinforcement Learning Algorithm for Efficient Task Scheduling in Fog-Cloud IoT-Based Systems,,,,EC5,NO,,,,
Springer Nature,1901,34,Decision support software-guided medication reviews in elderly patients with polypharmacy: a prospective analysis of routine data from community pharmacies (OPtiMed study protocol),,,,EC5,NO,,,,
ACM Digital Library,196,35,SIP: Optimal Product Selection from Feature Models Using Many-Objective Evolutionary Optimization,"A feature model specifies the sets of features that define valid products in a software product line. Recent work has considered the problem of choosing optimal products from a feature model based on a set of user preferences, with this being represented as a many-objective optimization problem. This problem has been found to be difficult for a purely search-based approach, leading to classical many-objective optimization algorithms being enhanced either by adding in a valid product as a seed or by introducing additional mutation and replacement operators that use an SAT solver. In this article, we instead enhance the search in two ways: by providing a novel representation and by optimizing first on the number of constraints that hold and only then on the other objectives. In the evaluation, we also used feature models with realistic attributes, in contrast to previous work that used randomly generated attribute values. The results of experiments were promising, with the proposed (SIP) method returning valid products with six published feature models and a randomly generated feature model with 10,000 features. For the model with 10,000 features, the search took only a few minutes.",Product selection,,EC5,NO,,,,
Springer Nature,1997,36,Intervention Model with Data Mining Techniques to Work with Dating Violence Victims Using a Social Support Network,,,,EC5,NO,,,,
Springer Nature,2041,37,Contextual Personas - A Method for Capturing the Digital Work Environment of Users,,,IC1,,NO,,,,
Springer Nature,2140,38,Distribution-free Bayesian analyses with the DFBA statistical package,,,,EC5,NO,,,,
Web of Science,2186,39,Analysis of Agile Project Manager Competencies From Recruitment Signals,"As Agile project management has become increasingly popular as a project management methodology, Agile project managers (AgPM) are important in leading and managing Agile projects. However, professional project management bodies and the academic literature lag behind industry practices in articulating competency frameworks for understanding the requirements of AgPM. This study examines the organizational expectations for AgPM competencies as signaled to the job market through advertisements. Using an integrated framework of Agile project competencies, we conduct a content analysis of AgPM job advertisements from the Australian and New Zealand job market. Our results identified the frequently signaled personal, practice and perspective competencies, including the co-occurrences of these competencies, for recruiting AgPM. Additionally, we identified the more frequently utilized individual personal and project-related practice competencies, as well as the less utilized Agile-focused perspective competencies. The findings of this study will help the Agile movement consider the competencies that are more important for organizations to learn; allow employers to articulate their competency requirements for potential jobs; and enable job seekers to understand and develop the required competencies for successful application to AgPM roles. Overall, this study provides an empirical grounding in the specific competencies required for the AgPM role in industry.",Organizations; Project management; Recruitment; Software; Uncertainty; Stakeholders; Receivers; Agile project management (APM); Agile project manager (AgPM); competencies; job advertisements; signaling theory,,EC5,YES,,,,
Web of Science,2207,40,Open Source Resume (OSR): A Visualization Tool for Presenting OSS Biographies of Developers,"In order to recruit appropriate developers for software projects, it is important to have a clarified understanding on the practical experience and expertise of each candidate. However, traditional resume only shows experiences claimed by developers, and very few evidence or information regarding their actual development activities can be obtained. In this paper, we propose an approach to extract developers' practical activities from their participated open source software (OSS) projects, and generate the biographies that reflect their OSS contributions. We applied the approach on the largest code hosting service, GitHub. By investigating the resumes generated from the extracted dataset, recruiters of software projects can be given a clearer view on whether the developers' experiences fulfill the qualifications. Moreover, based on the approach, we present a web-based visualization tool, named as Open Source Resume (OSR). We believe our tool is useful to help recruiters from software development organizations to search for suitable developers, and then construct development teams in software projects based on their OSS contributions.",Open Source Software; Mining Software Repositories; Developer Expertise; Visualization Tool,,EC4,NO,,,,
ACM Digital Library,248,41,Applications and Challenges of Fairness APIs in Machine Learning Software,"Machine Learning software systems are frequently used in our day-to-day lives. Some of these systems are used in various sensitive environments to make life-changing decisions. Therefore, it is crucial to ensure that these AI/ML systems do not make any discriminatory decisions for any specific groups or populations. In that vein, different bias detection and mitigation open-source software libraries (aka API libraries) are being developed and used. In this paper, we conduct a qualitative study to understand in what scenarios these open-source fairness APIs are used in the wild, how they are used, and what challenges the developers of these APIs face while developing and adopting these libraries. We have analyzed 204 GitHub repositories (from a list of 1885 candidate repositories) which used 13 APIs that are developed to address bias in ML software. We found that these APIs are used for two primary purposes (i.e., learning and solving real-world problems), targeting 17 unique use-cases. Our study suggests that developers are not well-versed in bias detection and mitigation; they face lots of troubleshooting issues, and frequently ask for opinions and resources. Our findings can be instrumental for future bias-related software engineering research, and for guiding educators in developing more state-of-the-art curricula.",bias; api; github; fairness,,EC5,NO,,,,
ACM Digital Library,249,42,Searching entangled program spaces,"Many problem domains, including program synthesis and rewrite-based optimization, require searching astronomically large spaces of programs. Existing approaches often rely on building specialized data structures—version-space algebras, finite tree automata, or e-graphs—to compactly represent such spaces. At their core, all these data structures exploit independence of subterms; as a result, they cannot efficiently represent more complex program spaces, where the choices of subterms are entangled. We introduce equality-constrained tree automata (ECTAs), a new data structure, designed to compactly represent large spaces of programs with entangled subterms. We present efficient algorithms for extracting programs from ECTAs, implemented in a performant Haskell library, ecta. Using the ecta library, we construct Hectare, a type-driven program synthesizer for Haskell. Hectare significantly outperforms a state-of-the-art synthesizer Hoogle+—providing an average speedup of 8\texttimes{}—despite its implementation being an order of magnitude smaller.",Haskell; e-graphs; program synthesis; type systems,,EC5,NO,,,,
ACM Digital Library,251,43,“I Want It That Way”: Enabling Interactive Decision Support Using Large Language Models and Constraint Programming,"A critical factor in the success of many decision support systems is the accurate modeling of user preferences. Psychology research has demonstrated that users often develop their preferences during the elicitation process, highlighting the pivotal role of system-user interaction in developing personalized systems. This paper introduces a novel approach, combining Large Language Models (LLMs) with Constraint Programming to facilitate interactive decision support. We study this hybrid framework through the lens of meeting scheduling, a time-consuming daily activity faced by a multitude of information workers. We conduct three studies to evaluate the novel framework, including a diary study to characterize contextual scheduling preferences, a quantitative evaluation of the system’s performance, and a user study to elicit insights with a technology probe that encapsulates our framework. Our work highlights the potential for a hybrid LLM and optimization approach for iterative preference elicitation, and suggests design considerations for building systems that support human-system collaborative decision-making processes.",Decision support; large language models; constraint programming; preference elicitation; meeting scheduling,,EC5,NO,,,,
ACM Digital Library,305,44,"Automated Soap Opera Testing Directed by LLMs and Scenario Knowledge: Feasibility, Challenges, and Road Ahead","Exploratory testing (ET) harnesses tester's knowledge, creativity, and experience to create varying tests that uncover unexpected bugs from the end-user's perspective. Although ET has proven effective in system-level testing of interactive systems, the need for manual execution has hindered large-scale adoption. In this work, we explore the feasibility, challenges and road ahead of automated scenario-based ET (a.k.a soap opera testing). We conduct a formative study, identifying key insights for effective manual soap opera testing and challenges in automating the process. We then develop a multi-agent system leveraging LLMs and a Scenario Knowledge Graph (SKG) to automate soap opera testing. The system consists of three multi-modal agents, Planner, Player, and Detector that collaborate to execute tests and identify potential bugs. Experimental results demonstrate the potential of automated soap opera testing, but there remains a significant gap compared to manual execution, especially under-explored scenario boundaries and incorrectly identified bugs. Based on the observation, we envision road ahead for the future of automated soap opera testing, focusing on three key aspects: the synergy of neural and symbolic approaches, human-AI co-learning, and the integration of soap opera testing with broader software engineering practices. These insights aim to guide and inspire the future research.",Knowledge Graph; Large Language Models; Soap Opera Testing,,EC5,NO,,,,
ACM Digital Library,360,45,A Survey of AI-Generated Content (AIGC),"Recently, Artificial Intelligence Generated Content (AIGC) has gained significant attention from society, especially with the rise of Generative AI (GAI) techniques such as ChatGPT, GPT-4 [165], DALL-E-3 [184], and Sora [137]. AIGC involves using AI models to create digital content, such as images, music, and natural language, with the goal of making the content creation process more efficient and accessible. Large-scale models have become increasingly important in AIGC as they provide better intent extraction and generation results. This survey provides a comprehensive review of the history of generative models and recent advances in AIGC, focusing on both unimodal and multimodal interaction. From the perspective of unimodality, we introduce the generation tasks and relative models of text and image. From the perspective of multimodality, we introduce the cross-application between the modalities mentioned above. Finally, the survey discusses the existing open problems and future challenges in AIGC. Overall, this survey serves as a valuable resource for individuals interested in understanding the background and secrets behind the impressive performance of AIGC techniques.",Generative AI; AI-generated content; multimodal machine learning,,EC5,NO,,,,
ACM Digital Library,367,46,Bob or Bot: Exploring ChatGPT's Answers to University Computer Science Assessment,"Cheating has been a long-standing issue in university assessments. However, the release of ChatGPT and other free-to-use generative AI tools has provided a new and distinct method for cheating. Students can run many assessment questions through the tool and generate a superficially compelling answer, which may or may not be accurate.&nbsp;We ran a dual-anonymous “quality assurance” marking exercise across four end-of-module assessments across a distance university computer science (CS) curriculum. Each marker received five ChatGPT-generated scripts alongside 10 student scripts. A total of 90 scripts were marked; every ChatGPT-generated script for the undergraduate modules received at least a passing grade (&gt;40%), with all of the introductory module CS1 scripts receiving a distinction (&gt;85%). None of the ChatGPT-taught postgraduate scripts received a passing grade (&gt;50%). We also present the results of interviewing the markers and of running our sample scripts through a GPT-2 detector and the TurnItIn AI detector, which both identified every ChatGPT-generated script but differed in the number of false positives. As such, we contribute a baseline understanding of how the public release of generative AI is likely to significantly impact quality assurance processes. Our analysis demonstrates that in most cases, across a range of question formats, topics, and study levels, ChatGPT is at least capable of producing adequate answers for undergraduate assessment.",ChatGPT; generative AI; cheating; quality assurance; university assessment’,,EC5,NO,,,,
ACM Digital Library,38,47,More Than Meets the Eye: On Evaluating SBOM Tools In Java,"Open-source software is widely used in current software development. Unfortunately, this integration introduces a spectrum of challenges and potential threats. Such challenges emerge due to the diversity of import scenarios, which in turn may introduce malicious or vulnerable code in the client software, thereby causing significant security risks. To improve the transparency of software supply chains, Software Bill of Materials (SBOM) tools are proposed to identify the components within software systems. However, there limit investigation of functionality (i.e., tool operational process and data fields) and their practical performance of SBOM tools across various import scenarios. In this paper, we perform a comprehensive empirical study to investigate the impact of different import scenarios on SBOM tools. Specifically, we focus on three distinct component import scenarios: Build Tool Import, Dynamic Loading, and Source Code Import across a new benchmark consisting of 152 projects. We find that (1) The detection capabilities of SBOM tools exhibit considerable variance, especially in identifying dependency relationships; (2) The effectiveness of SBOM tools within the import scenarios of Dynamic Loading and Source Code Import falls short of expectations. Based on our findings, we summarize the lessons learned from different perspectives, including practitioners, tool vendors, and researchers. Our study provides valuable insights into the intricate landscape of software component usage, contributing to enhancing SBOM tools in modern software development.",,,EC5,NO,,,,
ACM Digital Library,401,48,Cat and Mouse Game: Patching Bureaucratic Work Relations by Patching Technologies,"This article uses findings from a field study of the world's largest guaranteed employment scheme (NREGA) in India to understand how digital technology mediates work relations and power dynamics within a bureaucracy. In this initiative, upper-level bureaucrats in the south Indian state of Andhra Pradesh built a digital network to remove local discretion at the ""last mile"" of an implementation of NREGA. I show how digital infrastructure affords actors at both the first and last mile opportunities to modify software to control as well as subvert certain practices. This article refers to this dialectic phenomenon as ""governance by patching"" and defines it as a socio-technical instantiation of a top-down process that focuses on small changes, iterative, and political process for positive change. Governance by patching is, therefore, neither a purely technical process nor an exclusively administrative one. Rather, it refers to the ability to fix unanticipated problems that arise in the implementation of governance programs by altering the socio-technical systems. The struggle for power continues, but on the new digital terrain.",bureaucracy; governance; ictd; infrastructures; last-mile; nrega; patching,,EC5,NO,,,,
ACM Digital Library,41,49,Large Language Model-Aware In-Context Learning for Code Generation,"Large Language Models (LLMs) have shown impressive In-Context Learning (ICL) ability in code generation. LLMs take a prompt context consisting of a few demonstration examples and a new requirement as input, and output new programs without any parameter update. Existing studies have found that the performance of ICL-based code generation heavily depends on the quality of demonstration examples and thus arises research on selecting demonstration examples: given a new requirement, a few demonstration examples are selected from a candidate pool, where LLMs are expected to learn the pattern hidden in these selected demonstration examples. Existing approaches are mostly based on heuristics or randomly selecting examples. However, the distribution of randomly selected examples usually varies greatly, making the performance of LLMs less robust. The heuristics retrieve examples by only considering textual similarities of requirements, leading to sub-optimal performance.To fill this gap, we propose a Large language model-Aware selection approach for In-context-Learning-based code generation named LAIL. LAIL uses LLMs themselves to select examples. It requires LLMs themselves to label a candidate example as a positive example or a negative example for a requirement. Positive examples are helpful for LLMs to generate correct programs, while negative examples are trivial and should be ignored. Based on the labeled positive and negative data, LAIL trains a model-aware retriever to learn the preference of LLMs and select demonstration examples that LLMs need. During the inference, given a new requirement, LAIL uses the trained retriever to select a few examples and feed them into LLMs to generate desired programs. We apply LAIL to four widely used LLMs and evaluate it on five code generation datasets. Extensive experiments demonstrate that LAIL outperforms the State-of-the-Art (SOTA) baselines by 11.58%, 3.33%, and 5.07% on CodeGen-Multi-16B, 1.32%, 2.29%, and 1.20% on CodeLlama-34B, and achieves 4.38%, 2.85%, and 2.74% improvements on Text-davinci-003 in terms of Pass@1 at MBJP, MBPP, and MBCPP, respectively. In addition to function-level code generation, LAIL improves the performance of LLMs on DevEval, a repository-level code generation dataset, which achieves 10.04%, 8.12%, and 4.63% improvements compared to the SOTA baselines at Pass@1, 3, and 5 on CodeLlama-7B. Human evaluation further verifies that the generated programs of LAIL are superior in correctness, code quality, and maintainability. Besides, LAIL has satisfactory transferability across different LLMs and datasets, where the retriever learned on one LLM (dataset) can be transferred to other LLMs (datasets).",Code generation; in-context-learning; large language model,IC1,,NO,,,,
ACM Digital Library,413,50,A Survey of AIOps in the Era of Large Language Models,"As large language models (LLMs) grow increasingly sophisticated and pervasive, their application to various Artificial Intelligence for IT Operations (AIOps) tasks has garnered significant attention. However, a comprehensive understanding of the impact, potential, and limitations of LLMs in AIOps remains in its infancy. To address this gap, we conducted a detailed survey of LLM4AIOps, focusing on how LLMs can optimize processes and improve outcomes in this domain. We analyzed 183 research articles published between January 2020 and December 2024 to answer four key research questions (RQs). In RQ1, we examine the diverse failure data sources utilized, including advanced LLM-based processing techniques for legacy data and the incorporation of new data sources enabled by LLMs. RQ2 explores the evolution of AIOps tasks, highlighting the emergence of novel tasks and the publication trends across these tasks. RQ3 investigates the various LLM-based methods applied to address AIOps challenges. Finally, RQ4 reviews evaluation methodologies tailored to assess LLM-integrated AIOps approaches. Based on our findings, we discuss the state-of-the-art advancements and trends, identify gaps in existing research, and propose promising directions for future exploration.",Large language model; AIOps; metrics; logs; time series; incident report; failure perception; anomaly detection; root cause analysis; assisted remediation,,EC5,NO,,,,
ACM Digital Library,420,51,Virtual Environment Model Generation for CPS Goal Verification using Imitation Learning,"Cyber-Physical Systems (CPS) continuously interact with their physical environments through embedded software controllers that observe the environments and determine actions. Field Operational Tests (FOT) are essential to verify to what extent the CPS under analysis can achieve certain CPS goals, such as satisfying the safety and performance requirements, while interacting with the real operational environment. However, performing many FOTs to obtain statistically significant verification results is challenging due to its high cost and risk in practice. Simulation-based verification can be an alternative to address the challenge, but it still requires an accurate virtual environment model that can replace the real environment interacting with the CPS in a closed loop.In this article, we propose ENVI (ENVironment Imitation), a novel approach to automatically generate an accurate virtual environment model, enabling efficient and accurate simulation-based CPS goal verification in practice.To do this, we first formally define the problem of the virtual environment model generation and solve it by leveraging Imitation Learning (IL), which has been actively studied in machine learning to learn complex behaviors from expert demonstrations. The key idea behind the model generation is to leverage IL for training a model that imitates the interactions between the CPS controller and its real environment as recorded in (possibly very small) FOT logs. We then statistically verify the goal achievement of the CPS by simulating it with the generated model. We empirically evaluate ENVI by applying it to the verification of two popular autonomous driving assistant systems. The results show that ENVI can reduce the cost of CPS goal verification while maintaining its accuracy by generating accurate environment models from only a few FOT logs. The use of IL in virtual environment model generation opens new research directions, further discussed at the end of the article.",Cyber-physical system (CPS); software controller; simulation-based CPS goal verification; environment modeling; imitation learning (IL),,EC5,NO,,,,
ACM Digital Library,440,52,Relational program synthesis,"This paper proposes relational program synthesis, a new problem that concerns synthesizing one or more programs that collectively satisfy a relational specification. As a dual of relational program verification, relational program synthesis is an important problem that has many practical applications, such as automated program inversion and automatic generation of comparators. However, this relational synthesis problem introduces new challenges over its non-relational counterpart due to the combinatorially larger search space. As a first step towards solving this problem, this paper presents a synthesis technique that combines the counterexample-guided inductive synthesis framework with a novel inductive synthesis algorithm that is based on relational version space learning. We have implemented the proposed technique in a framework called Relish, which can be instantiated to different application domains by providing a suitable domain-specific language and the relevant relational specification. We have used the Relish framework to build relational synthesizers to automatically generate string encoders/decoders as well as comparators, and we evaluate our tool on several benchmarks taken from prior work and online forums. Our experimental results show that the proposed technique can solve almost all of these benchmarks and that it significantly outperforms EUSolver, a generic synthesis framework that won the general track of the most recent SyGuS competition.",Counterexample Guided Inductive Synthesis; Relational Program Synthesis; Version Space Learning,,EC5,NO,,,,
